Trabajadores,Procesos,Alfa,Tiempo Total del Turno
30,7,0.3,500

Rotura,Puesto 1,Puesto 2,Puesto 3,Puesto 4,Puesto 5,Puesto 6,Puesto 7,
Trabajador 1,0.58,0.41,0.87,0.48,0.13,0.90,0.20,
Trabajador 2,0.27,0.41,0.47,0.38,0.38,0.05,0.01,
Trabajador 3,0.58,0.53,0.33,0.78,0.20,0.66,0.99,
Trabajador 4,0.71,0.77,0.38,0.18,0.50,0.71,0.07,
Trabajador 5,0.60,0.76,0.37,0.17,0.16,0.66,0.13,
Trabajador 6,0.01,0.46,0.36,0.47,0.24,0.84,0.10,
Trabajador 7,0.54,0.11,0.39,0.67,0.70,0.03,0.75,
Trabajador 8,0.05,0.37,0.28,0.36,0.32,0.88,0.87,
Trabajador 9,0.65,0.49,0.30,0.63,0.20,0.13,0.67,
Trabajador 10,0.64,0.09,0.22,0.22,0.39,0.89,0.56,
Trabajador 11,0.07,0.97,0.31,0.96,0.82,0.89,0.17,
Trabajador 12,0.66,0.99,0.51,0.80,0.68,0.32,0.55,
Trabajador 13,0.40,0.09,0.80,0.84,0.78,0.26,0.37,
Trabajador 14,0.97,0.05,0.84,0.05,0.71,0.43,0.90,
Trabajador 15,0.01,0.18,0.45,0.31,0.14,0.19,0.98,
Trabajador 16,0.39,0.97,0.41,0.50,0.99,0.70,0.99,
Trabajador 17,0.50,0.79,0.83,0.52,0.81,0.13,0.25,
Trabajador 18,1.00,0.41,0.38,0.60,0.63,0.20,0.09,
Trabajador 19,0.92,0.47,0.91,0.10,0.46,0.27,0.64,
Trabajador 20,0.81,0.07,0.50,0.53,0.13,0.57,0.00,
Trabajador 21,0.13,0.40,0.34,0.80,0.56,0.37,0.48,
Trabajador 22,0.26,0.01,0.53,0.90,0.30,0.65,0.01,
Trabajador 23,0.77,0.06,0.70,0.51,0.99,0.89,0.47,
Trabajador 24,0.50,0.49,0.40,0.53,0.43,0.35,0.69,
Trabajador 25,0.73,0.33,0.99,0.68,0.56,0.24,0.87,
Trabajador 26,0.01,0.04,0.81,0.07,0.82,0.62,0.66,
Trabajador 27,0.46,0.39,0.20,0.15,0.62,0.63,0.04,
Trabajador 28,0.00,0.79,0.02,0.14,0.68,0.53,0.63,
Trabajador 29,0.90,0.94,0.26,0.13,0.03,0.79,0.53,
Trabajador 30,0.68,0.54,0.22,0.75,0.41,0.14,0.75,

Tiempo,Puesto 1,Puesto 2,Puesto 3,Puesto 4,Puesto 5,Puesto 6,Puesto 7,
Trabajador 1,31,92,60,41,49,86,32,
Trabajador 2,37,43,56,86,80,74,80,
Trabajador 3,67,97,67,91,79,47,37,
Trabajador 4,36,68,95,85,87,39,84,
Trabajador 5,89,98,58,44,64,50,98,
Trabajador 6,92,70,98,58,80,71,85,
Trabajador 7,81,91,52,51,40,86,39,
Trabajador 8,69,77,90,79,92,74,94,
Trabajador 9,54,65,55,61,77,47,48,
Trabajador 10,45,98,72,46,54,82,74,
Trabajador 11,57,69,62,99,75,52,55,
Trabajador 12,76,73,64,77,52,74,49,
Trabajador 13,50,67,65,71,75,33,68,
Trabajador 14,35,72,97,33,53,67,66,
Trabajador 15,93,79,35,85,34,65,41,
Trabajador 16,38,57,79,46,52,69,78,
Trabajador 17,91,91,83,54,73,98,94,
Trabajador 18,60,37,74,78,78,36,52,
Trabajador 19,97,65,95,52,84,88,82,
Trabajador 20,93,59,91,48,39,38,42,
Trabajador 21,39,85,54,53,64,89,43,
Trabajador 22,80,43,78,80,69,71,63,
Trabajador 23,72,60,37,55,58,89,40,
Trabajador 24,92,84,94,68,80,96,97,
Trabajador 25,62,91,35,63,89,82,50,
Trabajador 26,52,50,55,44,46,39,46,
Trabajador 27,51,47,71,44,47,48,51,
Trabajador 28,99,84,93,81,48,31,47,
Trabajador 29,31,59,84,83,93,45,48,
Trabajador 30,51,73,47,79,89,42,50,

Vacantes,1,2,3,3,1,3,4,
